index,GHO (CODE),ENDYEAR,COUNTRY (CODE),SEX (DISPLAY),Numeric
143,MDG_0000000001,1960,PHL,Female,60.07943
144,MDG_0000000001,1955,PHL,Both sexes,78.99745
145,MDG_0000000001,1955,PHL,Female,71.66027
146,MDG_0000000001,1955,PHL,Male,85.82354
147,MDG_0000000001,1954,PHL,Both sexes,81.87799
148,MDG_0000000001,2018,PHL,Male,24.96490
149,MDG_0000000001,2017,PHL,Female,20.24435
150,MDG_0000000001,2015,PHL,Both sexes,23.70263
151,MDG_0000000001,2015,PHL,Male,26.33860
152,MDG_0000000001,2012,PHL,Both sexes,24.43990
153,MDG_0000000001,2012,PHL,Male,27.16284
154,MDG_0000000001,2009,PHL,Both sexes,25.25502
155,MDG_0000000001,2009,PHL,Male,28.06350
156,MDG_0000000001,2007,PHL,Female,22.82008
157,MDG_0000000001,2006,PHL,Both sexes,26.19621
158,MDG_0000000001,2004,PHL,Female,23.79559
159,MDG_0000000001,2003,PHL,Both sexes,27.43014
160,MDG_0000000001,2001,PHL,Female,24.88019
161,MDG_0000000001,2000,PHL,Both sexes,28.76471
162,MDG_0000000001,1999,PHL,Male,32.70335
163,MDG_0000000001,1998,PHL,Female,26.19455
164,MDG_0000000001,1996,PHL,Male,35.18662
165,MDG_0000000001,1995,PHL,Female,28.40287
166,MDG_0000000001,1993,PHL,Male,39.07469
167,MDG_0000000001,1992,PHL,Female,31.80425
168,MDG_0000000001,1990,PHL,Both sexes,39.97210
169,MDG_0000000001,1990,PHL,Male,44.77221
170,MDG_0000000001,1987,PHL,Both sexes,45.91411
171,MDG_0000000001,1987,PHL,Male,51.25053
172,MDG_0000000001,1984,PHL,Both sexes,50.14139
173,MDG_0000000001,1984,PHL,Male,55.82205
174,MDG_0000000001,1982,PHL,Female,45.60541
175,MDG_0000000001,1981,PHL,Both sexes,52.30361
176,MDG_0000000001,1981,PHL,Male,58.18056
177,MDG_0000000001,1979,PHL,Female,47.14305
178,MDG_0000000001,1978,PHL,Both sexes,53.77106
179,MDG_0000000001,1976,PHL,Female,48.09450
180,MDG_0000000001,1975,PHL,Both sexes,54.33829
181,MDG_0000000001,1974,PHL,Male,60.16787
182,MDG_0000000001,1973,PHL,Female,48.41189
183,MDG_0000000001,1972,PHL,Both sexes,54.59138
184,MDG_0000000001,1971,PHL,Male,60.57906
185,MDG_0000000001,1970,PHL,Female,49.25058
186,MDG_0000000001,1968,PHL,Male,62.28778
187,MDG_0000000001,1967,PHL,Female,51.45955
188,MDG_0000000001,1965,PHL,Both sexes,59.54245
189,MDG_0000000001,1965,PHL,Male,65.32963
190,MDG_0000000001,1964,PHL,Female,54.45287
191,MDG_0000000001,1962,PHL,Both sexes,63.17023
192,MDG_0000000001,1962,PHL,Male,69.23364
193,MDG_0000000001,1959,PHL,Both sexes,68.65727
194,MDG_0000000001,1959,PHL,Male,74.89439
195,MDG_0000000001,1956,PHL,Both sexes,76.19216
196,MDG_0000000001,1956,PHL,Male,82.91183
197,MDG_0000000001,1954,PHL,Female,74.37178
198,MDG_0000000001,1953,PHL,Both sexes,84.85787
199,WHOSIS_000001,2000,PHL,Male,63.87082
200,WHOSIS_000001,2001,PHL,Male,63.81902
201,WHOSIS_000001,2002,PHL,Male,63.81023
202,WHOSIS_000001,2003,PHL,Male,64.08918
203,WHOSIS_000001,2004,PHL,Male,64.16682
204,WHOSIS_000001,2005,PHL,Male,63.95667
205,WHOSIS_000001,2006,PHL,Male,64.07818
206,WHOSIS_000001,2007,PHL,Male,64.59421
207,WHOSIS_000001,2008,PHL,Male,64.69571
208,WHOSIS_000001,2009,PHL,Male,64.73915
209,WHOSIS_000001,2010,PHL,Male,65.20357
210,WHOSIS_000001,2011,PHL,Male,65.38171
211,WHOSIS_000001,2012,PHL,Male,65.49995
212,WHOSIS_000001,2013,PHL,Male,65.64088
213,WHOSIS_000001,2014,PHL,Male,65.92564
214,WHOSIS_000001,2015,PHL,Male,66.10122
215,WHOSIS_000001,2016,PHL,Male,66.21955
216,WHOSIS_000001,2000,PHL,Female,70.06812
217,WHOSIS_000001,2001,PHL,Female,70.14206
218,WHOSIS_000001,2002,PHL,Female,70.09222
219,WHOSIS_000001,2003,PHL,Female,70.61778
220,WHOSIS_000001,2004,PHL,Female,70.77367
221,WHOSIS_000001,2005,PHL,Female,70.57635
222,WHOSIS_000001,2006,PHL,Female,70.74084
223,WHOSIS_000001,2007,PHL,Female,71.25625
224,WHOSIS_000001,2008,PHL,Female,71.31359
225,WHOSIS_000001,2009,PHL,Female,71.33050
226,WHOSIS_000001,2010,PHL,Female,71.60517
227,WHOSIS_000001,2011,PHL,Female,71.85467
228,WHOSIS_000001,2012,PHL,Female,71.94757
229,WHOSIS_000001,2013,PHL,Female,72.06499
230,WHOSIS_000001,2014,PHL,Female,72.31554
231,WHOSIS_000001,2015,PHL,Female,72.49647
232,WHOSIS_000001,2016,PHL,Female,72.63499
233,WHOSIS_000001,2000,PHL,Both sexes,66.87355
234,WHOSIS_000001,2001,PHL,Both sexes,66.87446
235,WHOSIS_000001,2002,PHL,Both sexes,66.84638
236,WHOSIS_000001,2003,PHL,Both sexes,67.24104
237,WHOSIS_000001,2004,PHL,Both sexes,67.35647
238,WHOSIS_000001,2005,PHL,Both sexes,67.14453
239,WHOSIS_000001,2006,PHL,Both sexes,67.28327
240,WHOSIS_000001,2007,PHL,Both sexes,67.80242
241,WHOSIS_000001,2008,PHL,Both sexes,67.87808
242,WHOSIS_000001,2009,PHL,Both sexes,67.90500
243,WHOSIS_000001,2010,PHL,Both sexes,68.28639
244,WHOSIS_000001,2011,PHL,Both sexes,68.49487
245,WHOSIS_000001,2012,PHL,Both sexes,68.59990
246,WHOSIS_000001,2013,PHL,Both sexes,68.73228
247,WHOSIS_000001,2014,PHL,Both sexes,69.00494
248,WHOSIS_000001,2015,PHL,Both sexes,69.18646
249,WHOSIS_000001,2016,PHL,Both sexes,69.31470
250,WHS7_104,1995,PHL,,14.47311
251,WHS7_104,1996,PHL,,16.83236
252,WHS7_104,1997,PHL,,17.56528
253,WHS7_104,1998,PHL,,13.28155
254,WHS7_104,1999,PHL,,15.53992
255,WHS7_104,2000,PHL,,15.87368
256,WHS7_104,2001,PHL,,12.68831
257,WHS7_104,2002,PHL,,11.17512
258,WHS7_104,2003,PHL,,13.20942
259,WHS7_104,2004,PHL,,14.07494
260,WHS7_104,2005,PHL,,17.96783
261,WHS7_104,2006,PHL,,20.26111
262,WHS7_104,2007,PHL,,22.96379
263,WHS7_104,2008,PHL,,25.71044
264,WHS7_104,2009,PHL,,28.44725
265,WHS7_104,2010,PHL,,33.75949
266,WHS7_104,2011,PHL,,30.98499
267,WHS7_104,2012,PHL,,36.12857
268,WHS7_104,2013,PHL,,40.40964
269,WHS7_104,2014,PHL,,46.35026
